title,price,rating,reviews,availability
"Fonte Corsair RM750e, 750W, 80 Plus Gold, Modular, Preto - CP-9020262-WW",820.0,4.7,25.0,Em estoque
FONTE PARA PC ATX 600W PC Gamer Cooler Fonte De Alimentação Super Silenciosa Bivolt Preta E Vermelha Conectores SATA E Ventilador Potente Com Chave Seletora 110V/230V ONYK PREMIUM,382.89,4.9,9.0,Em estoque
"Fonte de alimentação DC Lwlongwei Variável, 30V 10A 300W comutação ajustável Regulada DC Bench Fonte de alimentação linear com 4 dígitos LED Power Display 5V / 2A Saída USB",856.07,4.7,24.0,Em estoque
"Fonte C3Tech PS-G850 Full Modular 850w, Certificacao 80 Plus Bronze, Gamer, ATX, PFC ativo Bivolt automatico 115/230V, PCIe 5.0, controle inteligente de ventilador, 17 conectores PSU, Preta",554.9,4.6,211.0,Em estoque
Fonte Gamer ATX KCAS 700W PFC Ativo 80 Plus Bronze Aerocool,306.35,4.7,1.3,Em estoque
Cabo de Energia ATX Padrão Novo 3 Pinos 120cm Kirin CB-37A120,8.19,4.7,327.0,Em estoque
Fonte Atx 350w Reais Gamer Super Silenciosa Bivolt,99.99,4.0,64.0,Em estoque
Fonte de Alimentação Gigabyte P450B 450W 80 Plus Bronze C/Cabo,309.0,4.6,92.0,Em estoque
"C3Tech Fonte ATX 200W PS-201 cooler 8Cm Sem Cabo, Bivolt 115V e 230V",69.62,3.8,23.0,Em estoque
Fonte Pc Gamer Atx 650w 120mm 80 Plus Bronze Branco Rgb,499.99,,,Em estoque
"Bright FT001 Fonte ATX, Office, Bivolt Automático, Fan 120mm, AC/DC, Frequência 50~60 Hz50 (500W)",189.0,4.2,61.0,Em estoque
Fonte Atx Kcas 500W 80 Plus Bronze Pfc Ativo Aerocool,259.99,4.8,372.0,Em estoque
"Fonte de Alimentação MSI MAG A850GL PCIE5-850W, 80 Plus, Gold, PFC Ativo, Full Modular",813.46,4.7,395.0,Em estoque
Fonte de alimentação para PC Knup KP-522 500W preta 115V/230V,118.17,5.0,1.0,Em estoque
Fonte Atx Gamer Brazil Pc 750w Real Bpc-7400 24 Pinos,199.9,4.0,9.0,Em estoque
FONTE DE ALIMENTAÇÃO BRAZILPC 400W REAL ATX 24 PINOS - BPC-427V1.0,115.9,4.0,2.0,Em estoque
2 peças 24 pinos ATX placa de alimentação ATX placa adaptador de chassi de computador fonte de alimentação take breakout módulo adaptador para computador PC,98.99,4.0,1.0,Em estoque
Fonte De Energia Alimentação 5v Bivolt 5V 2A Plug P4 Fonte De Alimentação Modem Roteador Switch Tv Box,25.5,4.4,54.0,Em estoque
FONTE K-MEX PCWELLS PK-550 400WTS ATX,119.97,4.7,6.0,Em estoque
Fonte de Alimentação 12V 3A Bivolt (110/220V) para Modem De Internet Carregador - Adaptador AC/DC com Conector P4 - Estabilizado e Seguro,36.9,4.1,21.0,Em estoque
"TP-Link Hub USB Alimentado 3.0 Com 7 Portas De Dados USB 3.0 E 2 Portas USB De Carregamento Inteligente. Compatível Com Windows, Mac, Chrome & Linux Os, Com Botão De Alimentação/Desligamento,Adaptador",245.0,4.6,4.076,Em estoque
"LWLONGWEI DC Fonte de Alimentação Variável, 30V 10A Função de Memória Programável Comutação Ajustável Regulada DC Bench Fonte de Alimentação com 4 dígitos Display (LW-3010EC）",1089.56,4.7,4.0,Em estoque
Fonte De Alimentação Regulada Universal Diversas Pontas 6 Opções De Tensão De Saída,28.03,4.3,24.0,Em estoque
"MSI Fonte de alimentação MAG 750W 80 Plus Gold - Design de conector nativo de 16 pinos - Design modular completo - Garantia de 7 anos - Proteção de nível industrial com OVP, OCP, OPP, OTP, SCP, UVP",750.0,4.6,283.0,Em estoque
Fonte Cougar Atlas 650W 80 Plus Bronze PFC Ativo 31AT065007P01,349.9,4.1,18.0,Em estoque
"Fonte C3Tech PS-G500B Certificacao 80 Plus Bronze 500w Gamer, ATX, PFC ativo Bivolt automatico 115/230V, Cooler 120mm, Preta",308.9,4.6,211.0,Em estoque
Fonte Atx 550w Reais Gamer Dex Dx-550 80 Plus Bronze,289.8,4.7,71.0,Em estoque
Fonte Gamemax Gx700 700w 80 Plus Gold Pfc Ativo Preta,517.89,4.8,10.0,Em estoque
"Fonte Corsair HX1000i (2023), 1000W, 80 Plus Platinum, Modular, Preto - CP-9020259-WW",1849.0,0.0,,Em estoque
FONTE ATX 350W REAL BRAZILPC BPC-C325E 24 PINOS OEM,69.9,0.0,,Em estoque
"Redragon Fonte de Alimentação Mymax MPSU/FP650W ATX 600W 80 PLUS Bronze PFC ATIVO S/Cabo - MPSU/FP650W, Preto, GC-PS003-1",466.72,4.7,157.0,Em estoque
Fonte De Alimentação Para Pc Atx 600w Preta Brazilpc Bivolt Manual 24 Pinos,163.06,0.0,,Em estoque
FONTE ATX 550W REAL ELECTRO V2 SERIES 80 PLUS BRONZE 3 ANOS - ELECV2PTO550W - PCYES,339.81,4.6,242.0,Em estoque
Fonte Redragon RGPS 1000W Branca 80 plus platinum,1319.99,4.4,11.0,Em estoque
"LWLONGWEI DC Fonte de Alimentação Variável, 4 Canais 30V 10A de saída Ajustável Switching Regulated DC Bench Fonte de alimentação com 4 dígitos LED Power Display 5V / 2A USD/DC Output",1801.77,4.3,6.0,Em estoque
"Fonte de alimentação DC Lwlongwei Variável, 30V 10A 300W comutação ajustável Regulada DC Bench Fonte de alimentação linear com 4 dígitos LED Power Display 5V / 2A Saída USB",856.07,4.7,24.0,Em estoque
"Fonte C3Tech PS-G850 Full Modular 850w, Certificacao 80 Plus Bronze, Gamer, ATX, PFC ativo Bivolt automatico 115/230V, PCIe 5.0, controle inteligente de ventilador, 17 conectores PSU, Preta",554.9,4.6,211.0,Em estoque
"Fonte 650W Gigabyte P650B 80 Plus Bronze PFC Ativo, GP-P650B",437.5,4.6,74.0,Em estoque
Kit 10 Fonte Alimentação P/Pc Atx 230w - Brazilpc Bpc-230,579.9,0.0,,Em estoque
"Fonte Corsair RM850e, 850W, 80 Plus Gold, Modular, Preto - CP-9020263-NA",999.0,4.6,787.0,Em estoque
Fonte Para Pc Knup 200w Atx 12v Conexão Sata Alta Performance + Nota Fiscal,45.8,3.5,11.0,Em estoque
Fonte de Alimentação C750 Bronze Não-modular ATX 750W 80 Plus Bronze PA-7B2BB-US,552.47,5.0,2.0,Em estoque
FONTE DE ALIMENTAÇÃO BRAZILPC 500W 80PLUS BRONZE BPC/500-80PLUS/B,233.77,4.4,78.0,Em estoque
Fonte de Alimentação ATX 500W Real Tronos 5330-B 24 Pinos,139.5,3.6,12.0,Em estoque
Fonte 80 Plus Gold 1000w Pc Modular Gamer Pfc Ativo Bivolt,679.99,,,Em estoque
Fonte Atx 500w Real 80 Plus Bronze 24 Pinos Tronos,239.9,4.5,44.0,Em estoque
Fonte Atx 650w para Pc Gamer cooler fan master ventoinha 120mm 80 Plus Bronze PFC ativo led Rgb Fonte alimentação de computador bivolt,499.99,,,Em estoque
FONTE ATX 750W REAL ELECTRO V2 SERIES 80 PLUS BRONZE 3 ANOS - ELECV2PTO750W - PCYES,419.9,4.7,63.0,Em estoque
FONTE ALIMACAO P/GABINETE ATX 500W REAL TRS/5330-B/UN/TRONOS,150.15,4.6,44.0,Em estoque
Fonte De Energia Alimentação 5v Bivolt 5V 2A Plug P4 Fonte De Alimentação Modem Roteador Switch Tv Box,25.5,4.4,54.0,Em estoque
2 peças 24 pinos ATX placa de alimentação ATX placa adaptador de chassi de computador fonte de alimentação take breakout módulo adaptador para computador PC,98.99,4.0,1.0,Em estoque
Fonte Gamer ATX KCAS 700W PFC Ativo 80 Plus Bronze Aerocool,306.35,4.7,1.3,Em estoque
Fonte de Alimentação 12V 3A Bivolt (110/220V) para Modem De Internet Carregador - Adaptador AC/DC com Conector P4 - Estabilizado e Seguro,36.9,4.1,21.0,Em estoque
"TP-Link Hub USB Alimentado 3.0 Com 7 Portas De Dados USB 3.0 E 2 Portas USB De Carregamento Inteligente. Compatível Com Windows, Mac, Chrome & Linux Os, Com Botão De Alimentação/Desligamento,Adaptador",245.0,4.6,4.076,Em estoque
"LWLONGWEI DC Fonte de Alimentação Variável, 4 Canais 30V 10A de saída Ajustável Switching Regulated DC Bench Fonte de alimentação com 4 dígitos LED Power Display 5V / 2A USD/DC Output",1801.77,4.3,6.0,Em estoque
Fonte De Alimentação ATX-250W L2F Para Computador Strong Tech,,5.0,2.0,
Fonte Atx S/Cabo 500w Vx-500 Preto Aerocool,210.52,4.5,509.0,Em estoque
FONTE DE ALIMENTACAO GIGABYTE P550B 550W 80 PLUS BRONZE GP-P550B/BR,368.01,4.6,141.0,Em estoque
Fonte De Alimentação VXPRO VX230SE,65.0,0.0,,Em estoque
Fonte De Alimentação Estabilizada 12V 2A Pino Bivolt 110/220V Adaptador Para Modem De Internet Carregador AC/DC Plug Conector Pino P4 PREMIUM ONYK,39.89,4.0,173.0,Em estoque
Fonte Modular Gamemax Gx750 750w 80 Plus Gold Preta,619.42,5.0,6.0,Em estoque
Fonte ATX 1000W Real Mymax 80+Silver MPSU/FP1000W PFC Ativo,586.24,4.0,48.0,Em estoque
FONTE ATX 350W VF350 - VINIK,143.45,4.1,7.0,Em estoque
Cabo de Força para ligação do Pc computador ou monitor 1.5 metros (Buy Cell),20.0,0.0,,Em estoque
Fonte De Alimentação Para Pc 550w Maxxtrogamer Msps-550w (Preto),157.81,,,Em estoque
"Fonte ATX Duex DX230W, 230W, Bivolt Manual, OEM",76.9,0.0,,Em estoque
FONTE DE ALIMENTAÇÃO BRAZILPC 350W REAL ATX 24 PINOS - BPC-325V1.2,103.64,3.4,24.0,Em estoque
"LWLONGWEI DC Fonte de Alimentação Variável, 30V 10A Função de Memória Programável Comutação Ajustável Regulada DC Bench Fonte de Alimentação com 4 dígitos Display (LW-3010EC）",1089.56,4.7,4.0,Em estoque
"Fonte de alimentação DC Lwlongwei Variável, 30V 10A 300W comutação ajustável Regulada DC Bench Fonte de alimentação linear com 4 dígitos LED Power Display 5V / 2A Saída USB",856.07,4.7,24.0,Em estoque
"Fonte C3Tech PS-G850 Full Modular 850w, Certificacao 80 Plus Bronze, Gamer, ATX, PFC ativo Bivolt automatico 115/230V, PCIe 5.0, controle inteligente de ventilador, 17 conectores PSU, Preta",554.9,4.6,211.0,Em estoque
"Bright Fonte ATX RGB, Gamer, Bivolt Automático, Fan 120mm, AC/DC, Frequência 50~60 Hz50 (750W)",407.71,3.9,8.0,Em estoque
"Cabo de Força para ligar o Desktop PC com Inmetro - Tomada Tripolar com 1,50 mts 10A 250V Monitor Eletrodomestico Computador Fonte Tripolar",15.99,5.0,1.0,Estimativa de envio de 3 a 4 dias
Cabo Força Energia Atx Tripolar Padrão Monitor Pc 110v/220v Cor Preto,19.8,0.0,,Em estoque
GIGABYTE Fonte 650W 80 Plus Bronze GP-P650B,429.0,4.3,35.0,Em estoque
Fonte Atx Gamer Brazil Pc 500W Real Bpc-500PFCA 24 Pinos,196.54,0.0,,Em estoque
Fonte Gigabyte UD850GM 850W 80 Plus Gold Full Modular Preta - GP-UD850GM,850.0,4.1,6.0,Em estoque
Fonte Atx 750w 80 Plus Bronze Cooler fan master Ventoinha 120mm Led Rgb para alimentação computador Pc Gamer bivolt,499.99,,,Em estoque
Fonte De Alimentacao 600W Atx Gamerr Para Pc 110v/220v 80 Plus Bronze Preta Bk-f600,224.99,0.0,,Em estoque
FONTE 500W REAL ATX XWAY PC GAMER SILENCIOSA 24P 2x PCI-E 6+2P,164.0,0.0,,Em estoque
"Fonte 200W ATX Hayom PW1620, Bivolt Manual - OEM",57.49,5.0,1.0,Em estoque
Fonte De Alimentacao 650w Gp650 80 Plus Bronze Gamemax,379.0,4.2,54.0,Em estoque
"Fonte 230W ATX Hayom PW1623, Bivolt Manual - OEM",110.0,,,Em estoque
Fonte De Energia Alimentação 5v Bivolt 5V 2A Plug P4 Fonte De Alimentação Modem Roteador Switch Tv Box,25.5,4.4,54.0,Em estoque
2 peças 24 pinos ATX placa de alimentação ATX placa adaptador de chassi de computador fonte de alimentação take breakout módulo adaptador para computador PC,98.99,4.0,1.0,Em estoque
Fonte Gamer ATX KCAS 700W PFC Ativo 80 Plus Bronze Aerocool,306.35,4.7,1.3,Em estoque
Fonte de Alimentação 12V 3A Bivolt (110/220V) para Modem De Internet Carregador - Adaptador AC/DC com Conector P4 - Estabilizado e Seguro,36.9,4.1,21.0,Em estoque
